## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2018-12-17_16-23-03 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# %d;%d;%d;%d
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;0
14;2;0;0
26;14;0;0
34;34;10;0
58;66;66;63
74;96;118;136
102;146;194;232
122;190;278;319
138;194;314;368
142;202;330;384
150;211;346;408
170;248;384;424
190;274;378;440
198;288;386;425
194;282;378;433
186;267;366;426
166;238;358;408
130;186;310;360
106;168;266;306
86;138;218;275
62;98;166;203
30;34;70;96
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
14;0;0;0
26;11;0;0
30;24;0;0
47;56;46;41
62;79;98;107
90;130;162;188
118;178;246;299
134;186;298;353
142;195;326;384
143;203;330;384
170;239;374;427
190;271;378;440
198;288;386;425
194;282;384;424
190;275;374;428
174;250;370;424
142;202;326;376
110;178;288;331
90;138;230;296
74;114;198;248
38;50;98;138
6;0;2;11
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
6;0;0;0
15;3;0;0
30;19;0;0
42;42;26;17
58;72;78;83
78;110;150;160
106;162;226;269
134;178;286;336
142;194;318;371
142;202;330;384
158;226;358;416
186;266;366;429
194;282;386;426
194;282;384;425
190;282;378;435
182;264;358;416
150;218;334;384
122;194;303;349
98;162;258;299
78;123;214;259
46;67;130;153
22;18;38;56
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;0
14;0;0;0
26;14;0;0
38;34;10;0
58;67;70;72
74;99;130;128
102;146;198;232
130;170;262;304
138;187;310;362
142;202;330;386
150;210;346;401
175;254;386;418
190;274;378;440
194;282;384;424
194;282;378;434
186;270;367;426
162;235;354;400
128;179;302;355
106;163;266;306
86;131;214;272
62;90;160;194
34;40;66;90
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
