## File generated by myo_cap software
## Available from github.com/ddantas/myo_cap
## Timestamp: 2018-05-23_20-57-32
##
## EMG capture settings##
# sampleRate: 2000
# channelsPerBoard: 4
# nBoards: 1
# bitsPerSample: 12
##
## Data
## t;ch0;ch1;...;ch(channelsPerBoard * nBoards - 1)
1;0;0;0
5;0;0;0
22;17;18;33
45;47;68;104
60;83;121;126
90;132;135;136
118;143;139;138
226;274;249;253
264;349;339;321
228;330;306;263
164;254;248;259
55;123;139;134
0;1;17;29
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
28;15;19;28
44;49;65;101
60;83;121;130
90;131;136;130
123;139;133;137
209;255;250;256
262;355;353;351
241;317;307;274
178;258;257;242
59;128;137;142
0;2;22;38
0;0;0;1
0;0;0;0
0;0;0;0
10;0;0;1
20;5;2;3
31;29;31;41
51;63;87;124
80;119;134;136
110;154;139;137
167;228;246;254
260;339;334;328
255;324;313;280
197;264;253;238
114;156;154;139
5;8;23;33
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
15;4;4;4
22;20;20;22
47;54;78;117
70;100;140;135
93;133;137;139
124;154;143;137
250;314;269;262
260;335;321;291
218;302;268;251
143;211;244;236
18;65;126;136
0;0;5;16
0;0;0;0
0;0;0;0
0;0;0;0
6;0;0;0
21;11;6;3
32;31;35;49
50;66;94;127
75;114;127;137
107;156;137;137
198;256;250;264
257;338;326;311
253;317;302;268
182;251;251;252
86;133;126;133
0;0;8;14
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;1
16;6;2;6
28;20;21;23
43;50;66;95
62;86;127;131
94;133;133;134
126;154;144;135
255;297;263;252
265;357;352;348
218;313;289;255
145;227;250;225
28;86;134;135
0;0;12;19
0;0;0;0
0;0;0;0
1;0;0;0
6;0;0;0
27;16;19;28
46;51;72;110
62;89;130;133
84;132;131;137
121;150;135;134
226;282;248;242
270;345;337;321
246;314;293;260
175;254;256;235
60;126;130;136
0;1;10;20
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
24;15;13;26
36;39;44;64
60;82;118;134
87;130;133;131
117;134;128;135
204;256;245;255
260;335;323;295
251;321;300;264
188;254;260;253
73;128;131;130
0;1;6;5
0;0;0;0
0;0;0;0
0;0;0;0
3;0;0;0
23;9;11;14
37;37;48;69
50;62;93;129
72;109;134;137
109;133;129;136
157;194;211;232
259;340;323;305
257;354;355;343
198;289;267;262
120;176;182;176
5;19;45;65
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;0
11;0;1;0
22;13;15;17
46;48;66;108
60;85;122;130
87;127;142;139
122;148;138;134
254;283;266;263
269;328;323;305
228;313;282;256
148;220;241;243
23;75;128;127
0;0;7;12
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
27;15;19;28
44;45;67;101
62;82;121;131
86;128;135;137
118;149;138;136
229;279;258;253
262;350;343;331
234;333;318;277
