## File generated by myo_cap software
## Available from github.com/ddantas/myo_cap
## Timestamp: 2018-05-23_20-57-32
##
## EMG capture settings##
# sampleRate: 2000.0
# channelsPerBoard: 4.0
# nBoards: 1.0
# bitsPerSample: 12.0
##
## Data
## t; ch0; ch1; ch2; ch3
0 0 0 0
5 0 0 0
20 2 1 0
34 27 26 23
73 101 132 127
131 183 195 204
203 263 259 251
249 321 301 266
223 301 268 257
174 251 253 251
79 137 137 130
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
8 0 0 0
21 9 1 0
37 35 32 29
85 115 124 134
146 182 189 197
228 287 254 258
253 307 280 258
216 282 255 248
153 220 244 237
38 109 133 128
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
9 0 0 0
17 7 0 0
44 50 55 69
104 134 130 135
166 214 235 249
250 323 313 281
248 331 318 272
201 275 258 253
136 197 209 226
13 50 86 120
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
14 3 0 0
26 15 7 1
64 79 99 131
127 146 135 157
193 247 252 247
256 309 287 265
242 292 263 249
184 254 247 245
118 171 172 153
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
3 0 0 0
10 1 0 0
26 23 19 19
74 97 126 121
133 163 165 159
208 256 249 259
254 309 288 255
232 309 272 253
172 251 259 241
87 149 142 130
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
5 0 0 0
21 8 3 0
36 28 29 27
86 119 128 129
145 192 202 221
224 292 261 257
251 310 285 252
218 284 257 254
155 226 250 254
50 120 134 133
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
3 0 0 0
16 2 0 0
19 8 1 0
44 45 49 53
110 133 131 127
171 219 241 236
251 326 314 276
256 316 304 260
198 266 256 240
131 178 187 188
0 23 35 40
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
14 2 0 0
28 21 15 11
69 91 121 127
132 151 152 140
194 255 252 248
252 312 289 256
235 316 282 253
176 257 243 251
95 167 152 131
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
16 2 0 0
36 31 31 30
78 103 123 127
130 186 187 192
212 275 257 252
254 302 275 258
224 293 256 254
166 244 241 236
68 133 135 136
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
12 0 0 0
14 3 0 0
47 45 50 64
100 129 130 129
162 199 216 239
245 312 290 260
254 310 290 253
201 260 253 248
133 192 208 220
17 55 87 130
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
5 0 0 0
11 0 0 0
22 12 3 0
59 71 86 119
122 132 142 133
190 242 249 249
251 332 311 274
239 329 307 257
189 258 253 258
117 187 191 188
0 11 17 12
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
9 0 0 0
20 9 2 0
38 41 39 47
87 117 133 125
148 185 197 209
228 292 258 254
252 310 288 254
214 283 257 252
153 220 247 244
48 116 131 127
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
9 1 0 0
14 3 0 0
39 37 39 41
99 125 130 124
160 201 217 248
241 286 263 251
255 297 269 261
204 262 250 259
131 215 237 224
12 71 121 127
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
7 0 0 0
17 1 0 0
31 25 22 20
74 100 129 126
130 165 170 169
211 259 248 257
254 329 305 271
228 310 273 250
175 252 243 238
77 135 149 128
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
3 0 0 0
17 9 0 0
36 38 41 48
85 116 130 129
144 186 194 212
222 284 257 266
250 322 299 255
213 287 254 259
150 219 248 244
38 101 128 129
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
16 1 0 0
25 20 12 5
57 68 90 120
127 137 157 149
186 240 258 251
254 309 288 259
246 304 272 256
188 249 253 237
123 163 166 155
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
16 4 0 0
24 20 9 2
57 68 86 112
127 139 138 137
183 233 254 234
253 313 299 262
243 295 259 260
194 254 260 246
124 165 167 151
0 1 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
16 4 0 0
24 14 7 0
54 67 80 106
128 136 155 142
190 241 250 255
255 309 284 258
247 303 265 256
191 258 243 254
122 197 197 195
0 8 14 3
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
6 0 0 0
11 1 0 0
28 19 10 2
68 84 108 113
135 156 159 153
206 254 253 255
254 305 281 253
233 310 268 253
172 251 258 241
90 153 147 134
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
4 0 0 0
17 5 1 0
37 33 33 35
